Area,Center X,Status,Error,Peak,Area %,Height,Max Y,Base Peak,Type,Width,SNR,Capacity Factor,Name,Cpd,Plates,PlatesPerMeter,Resolution,TailingFactor,FWHM,Notes
694,0.774,Accepted,,1,100,177,224,130,,0.062,,,,,,,,,,
493,8.999,Accepted,,7,71.05,42,89,130,,0.187,,,,,,,,,,
34,5.403,Accepted,,6,4.96,11,57,130,,0.052,,,,,,,,,,
30,2.115,Accepted,,2,4.38,9,57,130,,0.052,,,,,,,,,,
17,2.971,Inspect,W,3,2.44,5,52,130,,0.057,,,,,,,,,,
25,4.458,Inspect,W,4,3.61,7,54,130,,0.053,,,,,,,,,,
18,5.188,Inspect,W,5,2.61,6,52,130,,0.051,,,,,,,,,,
